SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,CATEGORY
59,111,0,0,1613,41,7,3
83,98,0,0,1624,38,15,3
120,122,1,0,1623,45,24,2
260,100,1,0,1914,46,24,3
265,16,0,0,834,18,15,3
59,97,0,0,524,21,7,3
10,43,0,0,1821,2,4,6
185,111,0,0,1631,29,24,2
102,111,0,0,812,13,24,2
96,90,1,1,634,21,9,6
116,16,0,0,2523,35,12,1
271,88,1,0,432,10,16,4
96,16,0,1,2511,36,9,6
252,111,0,0,113,34,12,1
238,16,0,1,1215,1,9,6
265,111,0,1,222,4,15,3
248,45,0,0,1912,47,7,3
271,14,1,0,2232,21,16,4
5,16,0,1,1022,24,3,6
11,111,0,0,2533,37,3,6
260,96,0,0,414,8,24,3
116,111,0,0,624,8,12,1
238,100,0,0,1231,28,8,6
238,96,1,1,1622,45,8,6
227,111,1,0,612,17,23,2
89,96,0,0,1532,28,8,6
247,96,0,1,512,9,8,2
73,16,0,0,2521,31,18,2
260,107,1,0,334,7,24,3
261,16,0,0,1223,27,15,3
59,111,0,0,1925,44,7,3
252,4,0,0,1654,41,12,1
265,111,0,0,2411,50,15,3
255,88,0,0,133,4,12,1
181,106,0,0,1024,22,24,2
91,111,0,0,1925,44,7,3
2,16,1,1,723,16,4,6
238,107,1,0,523,21,9,6
265,90,0,0,1214,27,15,3
238,21,0,0,1834,42,8,6
265,111,0,0,1214,27,15,3
75,74,0,0,1651,41,12,1
238,47,0,0,735,17,9,6
42,122,0,0,2212,19,7,3
96,16,0,1,533,10,9,6
8,96,1,1,733,16,4,6
224,111,1,0,1234,25,23,4
8,14,0,0,324,8,4,6
261,16,1,0,2031,40,15,3
284,111,1,0,1234,25,24,2
42,111,0,0,925,15,7,3
285,16,1,1,2534,37,24,2
96,96,0,1,1623,45,9,6
238,83,0,0,332,5,8,6
271,111,1,0,733,16,16,4
265,111,0,0,815,22,15,3
261,96,0,0,1013,22,15,3
59,99,0,0,212,4,7,3
252,85,0,0,814,23,12,1
111,100,0,0,914,11,5,3
111,22,0,0,2012,40,5,3
111,16,0,0,322,6,5,3
203,107,1,0,1121,27,19,0
238,111,0,0,1925,46,8,6
140,41,0,0,2433,48,8,2
59,90,0,0,1115,28,7,3
96,122,0,1,1524,37,9,6
122,16,0,0,1824,2,24,2
260,100,1,0,1134,24,24,3
96,90,0,1,1822,27,9,6
122,16,0,1,2431,49,24,2
116,16,0,0,2433,48,12,1
116,16,0,0,914,11,12,1
130,16,0,0,2411,50,12,1
238,107,1,0,123,4,8,6
238,111,0,0,432,10,9,6
238,16,0,0,1935,43,8,6
5,111,0,0,512,9,3,6
5,111,0,0,223,20,4,6
248,90,0,0,623,6,7,3
247,96,0,1,223,4,8,2
238,111,0,0,1014,24,9,6
96,16,0,1,1512,29,9,6
59,30,0,0,1733,33,7,3
17,96,0,1,732,6,4,6
116,16,0,0,1624,38,12,1
81,57,0,0,112,34,12,1
42,111,0,0,822,23,7,3
59,111,0,0,2411,50,7,3
96,96,0,1,1113,28,9,6
197,111,1,0,1532,28,19,0
81,106,0,0,1213,1,12,1
59,111,0,0,2511,36,7,3
238,105,0,0,1421,26,8,6
271,59,0,0,1914,46,16,4
238,108,0,0,1233,28,8,6
238,105,0,0,2213,21,8,6
96,16,1,1,1211,26,9,6
115,73,1,0,411,8,19,0
225,14,0,0,2514,30,16,4
96,111,0,1,213,3,9,6
248,111,0,0,611,17,7,3
5,111,0,0,714,15,4,6
8,69,1,0,1021,24,3,6
285,16,0,1,913,11,24,2
111,97,0,0,2223,21,5,3
238,16,0,1,314,5,8,6
260,79,1,0,2433,48,24,3
197,111,1,0,731,6,19,0
59,99,0,0,933,20,7,3
271,99,1,0,2223,9,16,4
265,96,0,0,1613,41,15,3
96,96,0,1,523,9,9,6
285,96,0,1,524,21,24,2
96,16,0,1,1411,35,9,6
265,111,0,0,112,34,15,3
247,16,0,0,823,23,8,2
59,90,0,0,223,20,7,3
116,22,0,0,1711,50,12,1
265,122,0,1,1135,28,15,3
261,16,0,0,621,17,15,3
238,111,0,0,2512,36,8,6
261,96,0,0,523,9,15,3
59,111,0,0,524,21,7,3
122,111,0,0,1723,33,24,2
238,98,1,0,513,9,8,6
238,111,0,1,1124,27,8,6
59,122,1,0,1011,24,7,3
238,16,0,0,1232,34,9,6
59,111,0,0,513,9,7,3
238,107,0,0,232,20,8,6
265,14,0,1,1533,29,15,3
265,111,0,0,712,16,15,3
238,96,0,0,835,18,9,6
169,16,0,1,1113,28,2,6
59,96,0,0,332,5,7,3
169,73,0,0,831,16,2,6
248,111,0,0,414,8,7,3
169,16,0,0,421,7,2,6
247,105,0,0,1031,22,8,2
96,98,0,1,132,34,9,6
59,96,0,0,522,9,7,3
271,107,1,0,2213,21,16,4
265,122,0,0,2212,19,15,3
278,111,0,0,412,7,16,4
130,90,0,0,112,34,12,1
10,107,0,0,1121,27,4,6
238,105,0,0,1823,27,8,6
238,85,0,0,1232,34,9,6
261,16,0,0,321,5,15,3
238,106,0,0,1022,24,8,6
96,96,0,1,2232,21,9,6
238,16,0,1,324,7,8,6
185,88,0,0,114,42,24,2
111,16,0,0,1913,46,5,3
265,111,0,0,1633,30,15,3
64,111,0,0,331,5,6,3
102,111,1,0,2525,35,24,2
271,107,1,0,1012,24,16,4
111,98,0,0,2433,48,5,3
185,111,0,0,1634,45,24,2
261,96,0,0,512,21,15,3
261,97,0,0,1611,41,15,3
17,96,0,1,2234,21,4,6
96,96,0,1,634,9,9,6
59,111,0,0,1221,27,7,3
96,16,1,1,935,20,9,6
238,107,0,0,1834,42,9,6
247,85,0,1,414,8,8,2
238,111,0,0,813,13,8,6
96,16,0,1,414,8,9,6
99,111,0,1,822,14,21,2
238,14,0,0,1034,12,8,6
238,16,0,0,1135,28,8,6
96,16,0,1,2413,50,9,6
59,111,0,0,1532,28,7,3
130,96,0,0,1123,28,12,1
238,105,0,0,234,5,9,6
126,16,0,0,1932,32,5,3
59,111,0,0,132,3,7,3
238,16,0,0,323,6,9,6
247,96,0,0,1731,30,8,2
247,16,0,0,823,14,8,2
59,111,0,0,1423,26,7,3
20,56,0,1,412,8,4,6
265,111,0,0,811,23,15,3
238,111,0,0,1623,45,9,6
